ger,eng,fra,ita,cze,rus,pol,spa,por,hun,l10(简体中文),l11(繁体中文),l12(日语),l13(韩语),l14(印地语),l15(阿拉伯语),l16(孟加拉语),l17(印度尼西亚语),l18(土耳其语),l19(斯瓦希里语),META_TYPE,META_DESCRIPTION,META_REFERENCES
Dunkle,,,,,,,,,,黑暗,,,,,,,,,,抽象,黑暗（黑暗城堡）,multiplayer_batch
Brücken,,,,,,,,,,桥梁,,,,,,,,,,建筑,河上桥梁,multiplayer_batch
Jahreszeiten,,,,,,,,,,四季,,,,,,,,,,自然,四季,multiplayer_batch
Klima,,,,,,,,,,气候,,,,,,,,,,自然,气候,multiplayer_batch
Kolonisation,,,,,,,,,,殖民,,,,,,,,,,专有名词,殖民开拓,multiplayer_batch
Vulkan,,,,,,,,,,火山,,,,,,,,,,自然,火山,multiplayer_batch
Tal,,,,,,,,,,山谷,,,,,,,,,,地名,山谷,multiplayer_batch
Birken,,,,,,,,,,白桦,,,,,,,,,,植物,白桦,multiplayer_batch
Nordland,,,,,,,,,,北方,,,,,,,,,,地名,北方／北境,multiplayer_batch
Coop,,,,,,,,,,合作,,,,,,,,,,专有名词,合作模式,multiplayer_batch
Nocoop,,,,,,,,,,不合作,,,,,,,,,,专有名词,不合作模式,multiplayer_batch
Lavaland,,,,,,,,,,熔岩之地,,,,,,,,,,专有名词,熔岩之地（地图名）,multiplayer_batch
Höhlenzauber,,,,,,,,,,洞穴魔法,,,,,,,,,,专有名词,洞穴魔法（地图名）,multiplayer_batch
Trophäenjagd,,,,,,,,,,战利品狩猎,,,,,,,,,,专有名词,战利品狩猎（地图名）,multiplayer_batch
Drachenland,,,,,,,,,,龙之地,,,,,,,,,,专有名词,龙之地（地图名）,multiplayer_batch
Wintereinbruch,,,,,,,,,,冬季降临,,,,,,,,,,专有名词,冬季降临（地图名）,multiplayer_batch
Eisiger,,,,,,,,,,冰封,,,,,,,,,,形容词,冰封（冰封春日）,multiplayer_batch
Schneetreiben,,,,,,,,,,风雪,,,,,,,,,,自然,风雪（地图名）,multiplayer_batch
Kolonisierung,,,,,,,,,,殖民化,,,,,,,,,,专有名词,殖民化（地图名）,multiplayer_batch
Dunkle Burg,,,,,,,,,,黑暗城堡,,,,,,,,,,专有名词,黑暗城堡（地图名）,multiplayer_batch
Brücken am Fluss,,,,,,,,,,河上桥梁,,,,,,,,,,专有名词,河上桥梁（地图名）,multiplayer_batch
Vier Jahreszeiten,,,,,,,,,,四季,,,,,,,,,,专有名词,四季（地图名）,multiplayer_batch
Intimes Treiben,,,,,,,,,,局促之地,,,,,,,,,,专有名词,局促之地（地图名）,multiplayer_batch
Insel der Träume,,,,,,,,,,梦幻岛,,,,,,,,,,专有名词,梦幻岛（地图名）,multiplayer_batch
Ressourcen ohne Ende,,,,,,,,,,无尽资源,,,,,,,,,,专有名词,无尽资源（地图名）,multiplayer_batch
Weites Land,,,,,,,,,,辽阔大地,,,,,,,,,,专有名词,辽阔大地（地图名）,multiplayer_batch
Inselherrschaft,,,,,,,,,,岛屿霸权,,,,,,,,,,专有名词,岛屿霸权（地图名）,multiplayer_batch
Wüstenvolk,,,,,,,,,,沙漠部族,,,,,,,,,,地名,沙漠中的原住部族,singleplayer_03_05
Expedition,,,,,,,,,,远征队,,,,,,,,,,专有名词,北上探险的维京队伍,singleplayer_03_04
Angreifer,,,,,,,,,,攻击者,,,,,,,,,,军事,敌方攻击单位,singleplayer_03_04
Piratencamp,,,,,,,,,,海盗营地,,,,,,,,,,地名,海盗王国中心营地,singleplayer_03_04
Intihuatana,,,,,,,,,,印蒂瓦塔纳,,,,,,,,,,地名,太阳被系缚之处的沙漠之城,singleplayer_03_05
Intih.,,,,,,,,,,印蒂,,,,,,,,,,专有名词,Intihuatana 简称,singleplayer_03_05
Ofeig,,,,,,,,,,奥费格,,,,,,,,,,人名,维京人（剧情名）,singleplayer_03_04
Steinthor,,,,,,,,,,斯泰因索尔,,,,,,,,,,人名,维京人（剧情名）,singleplayer_03_04
Bodvar,,,,,,,,,,博德瓦尔,,,,,,,,,,人名,维京人（剧情名）,singleplayer_03_04
Ingolf,,,,,,,,,,英戈尔夫,,,,,,,,,,人名,维京人（剧情名）,singleplayer_03_04
Sumarlidi,,,,,,,,,,苏马尔利迪,,,,,,,,,,人名,维京人（剧情名）,singleplayer_03_04
Thorbrand,,,,,,,,,,索尔布兰德,,,,,,,,,,人名,维京人（剧情名）,singleplayer_03_04
Botolf,,,,,,,,,,博托尔夫,,,,,,,,,,人名,维京人（剧情名）,singleplayer_03_04
Erdrachen,,,,,,,,,,地龙,,,,,,,,,,专有名词,campaign_04 地龙种族,campaign_04_04
Wachdrachen,,,,,,,,,,守卫龙,,,,,,,,,,专有名词,campaign_04 守卫龙,campaign_04_01_sub1
Grauholm,Grauholm,,,,,,,,,格劳霍尔姆,,,,,,,,,,人名,campaign_04 剧情人物,campaign_04_01_sub3
Wamugo,Wamugo,,,,,,,,,瓦穆戈,,,,,,,,,,人名,campaign_04 教授,campaign_04_03
Kräutersammler,,,,,,,,,,采药人,,,,,,,,,,专有名词,campaign_04 采药人哨站,campaign_04_03
London,,,,,,,,,,伦敦,,,,,,,,,,地名,英格兰城市,campaign_01_03
Nottingham,,,,,,,,,,诺丁汉,,,,,,,,,,地名,英格兰城市,campaign_01_03
Bristol,,,,,,,,,,布里斯托,,,,,,,,,,地名,英格兰城市,campaign_01_03
York,,,,,,,,,,约克,,,,,,,,,,地名,英格兰城市,campaign_01_03
Thule,,,,,,,,,,图勒,,,,,,,,,,地名,图勒王国,campaign_01_03
Notti.,,,,,,,,,,诺蒂,,,,,,,,,,人名,图勒人物,campaign_01_03
Alexandria,,,,,,,,,,亚历山大港,,,,,,,,,,地名,埃及港口城市,campaign_01_08
Bagdad,,,,,,,,,,巴格达,,,,,,,,,,地名,伊拉克首都,campaign_01_10
WIGRID WALL,,,,,,,,,,维格里德城墙,,,,,,,,,,地名,米德加德之蛇领地,campaign_01_11
BAGDAD - Sub,,,,,,,,,,巴格达 - 支线,,,,,,,,,,地名,巴格达支线标识,campaign_01_10-sub
Hatschis Nachbarn,,,,,,,,,,哈奇的邻居,,,,,,,,,,地名,哈奇的邻居,campaign_02_02
Nachbarn,,,,,,,,,,邻居,,,,,,,,,,通用,邻居,campaign_02_02
DIE PLAGE,,,,,,,,,,瘟疫,,,,,,,,,,事件,蛇患/瘟疫,campaign_02_01
DIE GROSSE HUNGERSNOT,,,,,,,,,,大饥荒,,,,,,,,,,事件,阿拉伯大饥荒,campaign_02_02
DREI WÜNSCHE - Die Große Hungersnot - Sub,,,,,,,,,,三个愿望 - 大饥荒 - 支线,,,,,,,,,,事件,支线标题,campaign_02_02-sub
Städtchen,,,,,,,,,,小镇,,,,,,,,,,地名,小城镇,campaign_02_03
ALTE FREUNDE,,,,,,,,,,故友,,,,,,,,,,事件,故友重逢,campaign_02_03
Schmied Johannes,,,,,,,,,,铁匠约翰内斯,,,,,,,,,,人名,铁匠,campaign_02_04
Fenris,,,,,,,,,,芬里尔,,,,,,,,,,人名,北欧神话巨狼,campaign_02_04
Wikingerdorf,,,,,,,,,,维京人村庄,,,,,,,,,,地名,维京人村庄,campaign_02_06
Walhalla,,,,,,,,,,瓦尔哈拉,,,,,,,,,,地名,英灵殿,campaign_02_06
Weltenesche Yggdrasil,,,,,,,,,,世界树尤克特拉希尔,,,,,,,,,,地名,世界树,campaign_02_06
DIE KETTE DES FENRIS,,,,,,,,,,芬里尔之链,,,,,,,,,,事件,芬里尔之链,campaign_02_04
SCHWERTER DER KÖNIGE - Die Kette des Fenris - Sub1,,,,,,,,,,王者之剑 - 芬里尔之链 - 支线1,,,,,,,,,,事件,支线标题,campaign_02_04-sub1
INSEL DER SCHWEIGSAMEN - Die Kette des Fenris - Sub2,,,,,,,,,,沉默者之岛 - 芬里尔之链 - 支线2,,,,,,,,,,事件,支线标题,campaign_02_04-sub2
FENRIS HORDEN,,,,,,,,,,芬里尔部落,,,,,,,,,,地名,芬里尔部落,campaign_02_05
Mönche,,,,,,,,,,修士,,,,,,,,,,人名,修道院修士,campaign_02_04
Fährm.,,,,,,,,,,渡船,,,,,,,,,,通用,渡船夫简称,campaign_02_04
Brücke Bifrost,,,,,,,,,,比弗罗斯特桥,,,,,,,,,,地名,彩虹桥,campaign_02_07
EISWELT,,,,,,,,,,冰之世界,,,,,,,,,,地名,冰之世界,campaign_02_07-sub
Odín,,,,,,,,,,奥丁,,,,,,,,,,人名,北欧主神,campaign_02_08
Architekten,,,,,,,,,,建筑师,,,,,,,,,,人名,建筑师,campaign_03_01
Babylon,,,,,,,,,,巴比伦,,,,,,,,,,地名,巴比伦,campaign_03_02
Bauarbeiternomaden,,,,,,,,,,游牧工兵,,,,,,,,,,人名,游牧工兵,campaign_03_02
Hirten,,,,,,,,,,牧人,,,,,,,,,,通用,牧人,campaign_03_02
Frauen,,,,,,,,,,妇女,,,,,,,,,,通用,妇女,campaign_03_02_sub
DER LEUCHTTURM VON PHAROS,,,,,,,,,,法罗斯灯塔,,,,,,,,,,事件,世界奇观,campaign_03_01
DIE HÄNGENDEN GÄRTEN VON SEMIRAMIS,,,,,,,,,,塞米拉米斯空中花园,,,,,,,,,,事件,世界奇观,campaign_03_02
UNTERIRDISCHE HALLEN,,,,,,,,,,地下厅堂,,,,,,,,,,地名,地下厅堂,campaign_03_02_sub
Pharaonenkrieger,,,,,,,,,,法老战士,,,,,,,,,,人名,法老战士,campaign_03_07
Stadtteil 1,,,,,,,,,,城区 1,,,,,,,,,,地名,城区,campaign_03_08
Stadtteil 2,,,,,,,,,,城区 2,,,,,,,,,,地名,城区,campaign_03_08
Stadtteil 3,,,,,,,,,,城区 3,,,,,,,,,,地名,城区,campaign_03_08
DER TEMPEL DER ARTEMIS,,,,,,,,,,阿尔忒弥斯神庙,,,,,,,,,,事件,世界奇观,campaign_03_05
HEROSTRATES ERBEN,,,,,,,,,,赫罗斯特拉特斯继承者,,,,,,,,,,人名,纵火者继承者,campaign_03_05
DIE VERLORENEN SÜMPFE,,,,,,,,,,迷失沼泽,,,,,,,,,,地名,迷失沼泽,campaign_03_05_sub2
DIE PYRAMIDEN VON GIZEH,,,,,,,,,,吉萨金字塔,,,,,,,,,,事件,世界奇观,campaign_03_07
DAS ACHTE WELTWUNDER,,,,,,,,,,第八大奇迹,,,,,,,,,,事件,世界奇观,campaign_03_08
Kolosses von Rhodos,,,,,,,,,,罗德岛巨像,,,,,,,,,,事件,世界奇观,campaign_03_08
Grabstätte des Mausolos,,,,,,,,,,摩索拉斯王陵,,,,,,,,,,事件,世界奇观,campaign_03_08
Zeusstatue in Olympia,,,,,,,,,,奥林匹亚宙斯巨像,,,,,,,,,,事件,世界奇观,campaign_03_08
Spieler,,,,,,,,,,玩家,,,,,,,,,,通用,玩家,campaign_03_03_sub
Wächter,,,,,,,,,,守卫,,,,,,,,,,通用,守卫,campaign_03_03_sub3
Der Läufer von Elis,,,,,,,,,,伊利斯的长跑者,,,,,,,,,,人名,长跑者,campaign_03_06_sub1
KOLOSS-GEHEIMGANG,,,,,,,,,,巨像密道,,,,,,,,,,地名,巨像密道,campaign_03_03_sub
KOLOSS-ORAKEL,,,,,,,,,,巨像神谕,,,,,,,,,,地名,巨像神谕,campaign_03_03_sub3
DER WETTSTREIT,,,,,,,,,,竞技之争,,,,,,,,,,事件,竞技之争,campaign_03_06_sub1
DAS FLAMMENMEER,,,,,,,,,,火海,,,,,,,,,,地名,火海,campaign_03_06_sub2
Erdrachen,,,,,,,,,,土龙,,,,,,,,,,术语,campaign_04 龙种（土龙）,campaign_04;tutorial;demo
Wasserdachen,,,,,,,,,,水龙,,,,,,,,,,术语,campaign_04 龙种 sid13 旧拼法,campaign_04;tutorial;demo
Hirt.,,,,,,,,,,牧.,,,,,,,,,,术语,campaign_04 牧人缩写,campaign_04;tutorial;demo
Napal.,,,,,,,,,,纳.,,,,,,,,,,术语,campaign_04 纳帕利亚缩写,campaign_04;tutorial;demo
SPRUDEL,,,,,,,,,,涌泉,,,,,,,,,,术语,campaign_04 地形,campaign_04;tutorial;demo
NIXE,,,,,,,,,,水妖,,,,,,,,,,术语,campaign_04 地形,campaign_04;tutorial;demo
WELLE,,,,,,,,,,波涛,,,,,,,,,,术语,campaign_04 地形,campaign_04;tutorial;demo
Montseraine,,,,,,,,,,蒙瑟雷,,,,,,,,,,术语,demo_singleplayer_02 地名,campaign_04;tutorial;demo
Bergräuber,,,,,,,,,,山贼,,,,,,,,,,术语,demo_singleplayer_02 敌人,campaign_04;tutorial;demo
Kultstätte,,,,,,,,,,圣地,,,,,,,,,,术语,demo_singleplayer_02 祭祀场,campaign_04;tutorial;demo
Dämon,,,,,,,,,,恶魔,,,,,,,,,,术语,demo_singleplayer_02 敌人,campaign_04;tutorial;demo
Ausrüstungsgegenstände,,,,,,,,,,装备物资,,,,,,,,,,术语,tutorial_006 通用词,campaign_04;tutorial;demo
Unterhändler,,,,,,,,,,调停人,,,,,,,,,,术语,demo_singleplayer_02 角色,campaign_04;tutorial;demo
Bote,,,,,,,,,,信使,,,,,,,,,,术语,demo_singleplayer_02 角色,campaign_04;tutorial;demo
Gesinnung,,,,,,,,,,立场,,,,,,,,,,术语,demo_singleplayer_02 外交词,campaign_04;tutorial;demo
Ehepaar,,,,,,,,,,夫妇,,,,,,,,,,术语,tutorial_002 通用词,campaign_04;tutorial;demo
Holzsperrträger,,,,,,,,,,木栅兵,,,,,,,,,,术语,tutorial_006 兵种,campaign_04;tutorial;demo
Wachturm,,,,,,,,,,哨塔,,,,,,,,,,术语,tutorial_006 建筑,campaign_04;tutorial;demo
Eskimos,,,,,,,,,,爱斯基摩人,,,,,,,,,,术语,圣诞特辑 种族,tutorial;demo
Näherei,,,,,,,,,,裁缝坊,,,,,,,,,,术语,tutorial 建筑,tutorial;demo
TÖPFEREI,,,,,,,,,,陶艺坊,,,,,,,,,,术语,tutorial_004 建筑(全大写强调),tutorial;demo
TÖPFERS,,,,,,,,,,陶工,,,,,,,,,,术语,tutorial_004 职业(全大写强调),tutorial;demo
Steinmetzes,,,,,,,,,,石匠,,,,,,,,,,术语,tutorial_004 职业,tutorial;demo
Schreiners,,,,,,,,,,木工,,,,,,,,,,术语,tutorial_004 职业,tutorial;demo
Schmiedes,,,,,,,,,,铁匠,,,,,,,,,,术语,tutorial_004 职业,tutorial;demo
Nähers,,,,,,,,,,裁缝,,,,,,,,,,术语,tutorial_004 职业,tutorial;demo
Viehzüchters,,,,,,,,,,畜牧者,,,,,,,,,,术语,tutorial_004 职业,tutorial;demo
Möbel,,,,,,,,,,家具,,,,,,,,,,术语,通用 物资,tutorial;demo
Lederrüstungen,,,,,,,,,,皮甲,,,,,,,,,,术语,通用 装备,tutorial;demo
Technologien,,,,,,,,,,科技,,,,,,,,,,术语,tutorial_004 标题,tutorial;demo
Pharos,,,,,,,,,,法罗斯,,,,,,,,,,术语,demo_mainmenu_10 地名(岛/灯塔),tutorial;demo
Marmorblöcke,,,,,,,,,,大理石块,,,,,,,,,,术语,demo_mainmenu_10 物资,tutorial;demo
Heiltränke,,,,,,,,,,治疗药剂,,,,,,,,,,术语,通用 道具,tutorial;demo
Verteidigungsamulette,,,,,,,,,,防御护符,,,,,,,,,,术语,demo_mainmenu_10 道具,tutorial;demo
Wikingern,,,,,,,,,,维京人,,,,,,,,,,术语,demo_mainmenu_10 部族(与格),tutorial;demo
Langschwerter,,,,,,,,,,长剑,,,,,,,,,,术语,demo_mainmenu_10 兵器,tutorial;demo
Vagabundenlager,,,,,,,,,,流浪者营地,,,,,,,,,,术语,demo_mainmenu_10 地点,tutorial;demo
